ID,Year,Org_nb,Org_W,Inv_nb,Inv_W,Include,Comments,Source
ESEB_2011_22,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_23,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_24,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_25,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_26,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_27,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_28,2011,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2011_29,2011,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2011_30,2011,NA,NA,0,4,TRUE,,Schroeder-etal_2013
ESEB2013_S01,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S02,2013,2,1,3,2,TRUE,,online_program
ESEB2013_S03,2013,2,1,2,1,TRUE,,online_program
ESEB2013_S04,2013,4,2,2,0,TRUE,,online_program
ESEB2013_S05,2013,2,2,2,1,TRUE,,online_program
ESEB2013_S06,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S07,2013,2,1,2,1,TRUE,,online_program
ESEB2013_S08,2013,2,0,3,1,TRUE,,online_program
ESEB2013_S09,2013,2,0,2,1,TRUE,,online_program
ESEB2013_S10,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S11,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S12,2013,2,0,3,0,TRUE,,online_program
ESEB2013_S13,2013,2,0,3,1,TRUE,,online_program
ESEB2013_S14,2013,2,1,2,0,TRUE,,online_program
ESEB2013_S15,2013,2,1,2,1,TRUE,,online_program
ESEB2013_S16,2013,2,0,NA,NA,FALSE,no invited speakers,online_program
ESEB2013_S17,2013,2,0,2,1,TRUE,,online_program
ESEB2013_S18,2013,2,1,2,1,TRUE,,online_program
ESEB2013_S19,2013,2,1,3,1,TRUE,,online_program
ESEB2013_S20,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S21,2013,2,1,2,1,TRUE,,online_program
ESEB2013_S22,2013,4,2,2,1,TRUE,,online_program
ESEB2013_S23,2013,6,2,3,0,TRUE,,online_program
ESEB2013_S24,2013,2,1,2,0,TRUE,,online_program
ESEB2013_S25,2013,2,0,2,1,TRUE,,online_program
ESEB2013_S26,2013,1,0,3,0,TRUE,,online_program
ESEB2013_S27,2013,3,0,3,1,TRUE,,online_program
ESEB2013_S28,2013,2,2,2,0,TRUE,,online_program
ESEB2013_S29,2013,3,3,1,0,TRUE,,online_program
ESEB2013_S30,2013,2,0,2,2,TRUE,,online_program
ESEB2013_S31,2013,2,1,4,3,TRUE,,online_program
ESEB2013_S32,2013,2,0,1,0,TRUE,,online_program
ESEB2013_S33,2013,2,0,2,0,TRUE,,online_program
ESEB2013_S34,2013,NA,NA,NA,NA,FALSE,General symposium,online_program
ESEB2015_S01,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S02,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S03,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S04,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S05,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S06,2015,3,2,3,2,TRUE,,online_program
ESEB2015_S07,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S08,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S09,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S10,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S11,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S12,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S13,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S14,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S15,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S16,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S17,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S18,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S19,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S20,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S21,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S22,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S23,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S24,2015,2,2,2,1,TRUE,,online_program
ESEB2015_S25,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S26,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S27,2015,2,0,2,0,TRUE,,online_program
ESEB2015_S28,2015,2,1,2,1,TRUE,,online_program
ESEB2015_S29,2015,2,1,2,2,TRUE,,online_program
ESEB2015_S30,2015,2,1,2,0,TRUE,,online_program
ESEB2015_S31,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S32,2015,2,1,2,2,TRUE,,online_program
ESEB2015_S33,2015,2,0,2,1,TRUE,,online_program
ESEB2015_S34,2015,2,1,2,0,TRUE,,online_program
ESEB2015_S35,2015,2,0,NA,NA,FALSE,no invited speakers,online_program
ESEB_S_01,2017,2,1,2,1,TRUE,,online_program
ESEB_S_02,2017,3,0,2,1,TRUE,,online_program
ESEB_S_03,2017,2,2,2,2,TRUE,,online_program
ESEB_S_04,2017,2,1,2,1,TRUE,,online_program
ESEB_S_05,2017,3,0,2,0,TRUE,,online_program
ESEB_S_06,2017,2,0,2,0,TRUE,,online_program
ESEB_S_07,2017,3,1,2,1,TRUE,,online_program
ESEB_S_08,2017,5,1,2,1,TRUE,,online_program
ESEB_S_09,2017,2,2,2,1,TRUE,,online_program
